code,libelle,niveau,source
111,Cultures agricoles,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
112,Élevage et aquaculture,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
113,Foresterie et exploitation forestière,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
114,"Pêche, chasse et piégeage",3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
115,Activités de soutien à l'agriculture et à la foresterie,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
211,Extraction de pétrole et de gaz,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
212,Extraction minière et exploitation en carrière (sauf l'extraction de pétrole et de gaz),4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
213,"Activités de soutien à l'extraction minière, pétrolière et gazière",4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
221,Services publics,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
236,Construction de bâtiments,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
237,Travaux de génie civil,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
238,Entrepreneurs spécialisés,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
311,Fabrication d'aliments,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
312,Fabrication de boissons et de produits du tabac,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
313,Usines de textiles,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
314,Usines de produits textiles,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
315,Fabrication de vêtements,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
316,Fabrication de produits en cuir et de produits analogues,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
321,Fabrication de produits en bois,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
322,Fabrication du papier,2,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
323,Impression et activités connexes de soutien,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
324,Fabrication de produits du pétrole et du charbon,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
325,Fabrication de produits chimiques,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
326,Fabrication de produits en plastique et en caoutchouc,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
327,Fabrication de produits minéraux non métalliques,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
331,Première transformation des métaux,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
332,Fabrication de produits métalliques,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
333,Fabrication de machines,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
334,Fabrication de produits informatiques et électroniques,3,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
335,"Fabrication de matériel, d'appareils et de composants électriques",4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
336,Fabrication de matériel de transport,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
337,Fabrication de meubles et de produits connexes,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
339,Activités diverses de fabrication,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
411,Grossistes-marchands de produits agricoles,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
412,Grossistes-marchands de pétrole et de produits pétroliers,4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
413,"Grossistes-marchands de produits alimentaires, de boissons et de tabac",4,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
414,Grossistes-marchands d'articles personnels et ménagers,1,CNESST — Classement de l'établissement par niveau (SCIAN 2012)
