secteur_cnesst,nb_lesions,codes_scian_annexe_I,statut
SOINS DE SANTE ET ASSISTANCE SOCIALE,88407,621 622 623 624,déduit de la hiérarchie SCIAN
AUTRES OU NON CODES,78181,,à confirmer
FABRICATION DE BIENS DURABLES,32021,321 327 331 332 333 334 335 336 337 339,déduit de la hiérarchie SCIAN
COMMERCE DE DETAIL,29316,441 442 443 444 445 446 447 448 451 452 453 454,déduit de la hiérarchie SCIAN
CONSTRUCTION,28261,236 237 238,déduit de la hiérarchie SCIAN
FABRICATION DE BIENS NON DURABLES,27615,311 312 313 314 315 316 322 323 324 325 326,déduit de la hiérarchie SCIAN
SERVICES D'ENSEIGNEMENT,21843,611,déduit de la hiérarchie SCIAN
TRANSPORT ET ENTREPOSAGE,21381,481 482 483 484 485 486 487 488 491 492 493,déduit de la hiérarchie SCIAN
ADMINISTRATIONS PUBLIQUES,17585,911 912 913 914 919,déduit de la hiérarchie SCIAN
"SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN",16368,551 561 562,déduit de la hiérarchie SCIAN
HEBERGEMENT ET SERVICES DE RESTAURATION,12406,721 722,déduit de la hiérarchie SCIAN
COMMERCE DE GROS,12140,411 412 413 414 415 416 417 418 419,déduit de la hiérarchie SCIAN
AUTRES SERVICES,9531,811 812 813 814,déduit de la hiérarchie SCIAN
"INFORMATION, CULTURE ET LOISIRS",5331,511 512 515 517 518 519 711 712 713,déduit de la hiérarchie SCIAN
AGRICULTURE,2935,111 112,déduit de la hiérarchie SCIAN
"SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES",2881,541,déduit de la hiérarchie SCIAN
"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",2726,211 212 213,déduit de la hiérarchie SCIAN
SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL,1873,531 532 533,déduit de la hiérarchie SCIAN
FINANCE ET ASSURANCES,1330,521 522 523 524 526,déduit de la hiérarchie SCIAN
SERVICES PUBLICS,1198,221,déduit de la hiérarchie SCIAN
"FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE",1160,113,déduit de la hiérarchie SCIAN
"PECHE, CHASSE ET PIEGEAGE",49,114,déduit de la hiérarchie SCIAN
